instance,algorithm,seed,evaluations,runtime_seconds,front_size,hv,igd_plus,spread
Small,PLS,1960127675,10000,5.163067102432251,54,111674.39415000001,0.3949074373259022,266.244
Small,PLS,1081530686,10000,4.606674671173096,50,112047.3125,0.06511908077994402,281.506
Small,PLS,1302740407,10000,4.176973342895508,32,103659.919425,1.5923371541933657,262.2595
Small,PLS,2084654369,10000,4.5273377895355225,43,111881.963075,0.025794206128133615,275.016
Small,PLS,1566581934,10000,5.008260488510132,44,111635.650425,0.055627715877437325,264.756
Small,PLS,1357791198,10000,4.1812744140625,25,96629.904375,3.0750366254675816,243.0095
Small,PLS,1167425778,10000,4.366250038146973,37,112069.512725,0.009517130919220016,264.248
Small,PLS,1202413557,10000,4.635558366775513,47,109890.03972500001,0.5012436768802202,246.006
Small,PLS,2008052738,10000,4.306355237960815,46,112262.715875,0.01015091922005566,283.7827
Small,PLS,595598245,10000,4.361095666885376,43,109162.75675,2.8202583207096885,248.994
Small,PLS,1752032165,10000,4.480645179748535,47,110035.284575,1.2641214976721913,281.9053
Small,PLS,1440696407,10000,4.5492963790893555,42,111971.942475,0.036522646239554056,258.7535
Small,PLS,5880883,10000,3.983915090560913,24,103703.14175000001,1.5908072934691402,154.2595
Small,PLS,846428919,10000,4.525649309158325,41,109899.29814999999,0.173500575253285,259.247
Small,PLS,1841261662,10000,4.733112096786499,44,111907.91365000002,0.5084572403353959,284.7827
Small,PLS,1190382222,10000,4.396677732467651,42,110944.19819999998,1.0915546573806716,258.7632
Small,PLS,72124473,10000,4.163921594619751,34,111426.50227499999,0.013600974930361963,258.7225
Small,PLS,1642588603,10000,4.6474151611328125,54,112316.07764999999,0.017309192200557072,281.5035
Small,PLS,1566923138,10000,4.665637969970703,43,110929.73392500001,1.0896031197771605,270.998
Small,Graph-PMX NSGA-II,1826701614,10000,16.150338649749756,100,112094.84127500001,0.029110027855153094,308.9494
Small,Graph-PMX NSGA-II,1367864806,10000,12.988609075546265,100,112060.40800000001,0.017848579387186425,288.494
Small,Graph-PMX NSGA-II,1097657231,10000,8.929760932922363,100,111727.34435,0.5030358197225838,302.256
Small,Graph-PMX NSGA-II,579362555,10000,7.36883807182312,100,112148.687975,0.01604264623955433,290.7552
Small,Graph-PMX NSGA-II,661058651,10000,6.702632427215576,100,112303.8124,0.009301922005571053,287.5291
Small,Graph-PMX NSGA-II,87989972,10000,8.237495422363281,100,112250.86330000001,0.015650334261838338,274.5132
Small,Graph-PMX NSGA-II,161576974,10000,7.318973064422607,100,112154.17344999999,0.00810415041782732,269.7502
Small,Graph-PMX NSGA-II,35492826,10000,7.056831359863281,100,112229.10304999999,0.010199777158774381,264.256
Small,Graph-PMX NSGA-II,376383645,10000,6.856884956359863,100,112183.326,0.05106409470752103,281.5327
Small,Graph-PMX NSGA-II,1746484539,10000,6.720930337905884,100,111990.6128,0.1370216991643443,302.748
Small,Graph-PMX NSGA-II,1394609702,10000,6.697663307189941,100,112347.296425,0.00899467966573814,287.506
Small,Graph-PMX NSGA-II,1960127675,10000,6.805592060089111,100,111788.34805,0.009385598885793869,276.9802
Small,Graph-PMX NSGA-II,1081530686,10000,6.696544885635376,100,111497.95452500001,0.6453555710306392,287.6708
Small,Graph-PMX NSGA-II,1302740407,10000,6.629346132278442,100,112211.4557,0.010888245125348169,274.497
Small,Graph-PMX NSGA-II,2084654369,10000,6.676513910293579,100,111743.76030000002,0.3940355153203305,231.006
Small,Graph-PMX NSGA-II,1566581934,10000,6.849625110626221,100,111913.2431,0.029174066852367363,275.7325
Small,Graph-PMX NSGA-II,1357791198,10000,7.497046709060669,100,112129.245725,0.009891727019498593,287.5191
Small,Graph-PMX NSGA-II,1167425778,10000,6.599972486495972,100,112217.67305,0.010294540389972141,281.498
Small,Graph-PMX NSGA-II,1202413557,10000,6.546396493911743,100,112239.697025,0.007427242339832879,288.263
Small,Graph-PMX NSGA-II,2008052738,10000,6.905993700027466,100,112144.0808,0.15144331476323225,290.7782
Small,Graph-PMX NSGA-II,595598245,10000,7.566423654556274,100,111873.415875,0.39230660167131076,265.506
Small,Graph-PMX NSGA-II,1752032165,10000,6.775805950164795,100,112145.15887500001,0.015033231197771618,320.7735
Small,Graph-PMX NSGA-II,1440696407,10000,7.360325336456299,100,111900.7564,0.01184584958217265,289.7422
Small,Graph-PMX NSGA-II,5880883,10000,6.698930501937866,100,112020.5166,0.11141763631714298,264.2782
Small,Graph-PMX NSGA-II,846428919,10000,6.692535400390625,100,112318.717175,0.010127019498607245,281.506
Small,Graph-PMX NSGA-II,1841261662,10000,7.111802577972412,100,112095.916375,0.010983871866295233,269.7782
Small,Graph-PMX NSGA-II,1190382222,10000,7.960583686828613,100,111856.12535,0.012488997214484572,264.248
Small,Graph-PMX NSGA-II,72124473,10000,7.230350971221924,100,112265.029175,0.011419582172701935,293.5267
Small,Graph-PMX NSGA-II,1642588603,10000,8.35396695137024,100,111779.262775,0.029232701949860513,314.7582
Small,Graph-PMX NSGA-II,1566923138,10000,7.295774221420288,100,112165.86075,0.010245181058495789,274.994
Medium,NSGA-II,1826701614,10000,40.35035562515259,100,86093105.28996953,113.5847309740122,2425.053110420529
Medium,NSGA-II,1367864806,10000,34.371774673461914,100,75509347.88079414,203.65904577050662,2107.117443371352
Medium,NSGA-II,1097657231,10000,32.19903635978699,100,82417523.53416789,98.87543505619298,2687.3905174267093
Medium,NSGA-II,579362555,10000,32.711631536483765,100,77995999.79850936,150.59192486072487,3000.99303209103
Medium,NSGA-II,661058651,10000,32.749608278274536,100,81874851.60206142,189.42671626828724,2441.030684953718
Medium,NSGA-II,87989972,10000,32.169859170913696,100,77817169.94982031,209.48268298667242,2709.4292019548852
Medium,NSGA-II,161576974,10000,32.1593976020813,100,83025427.65506472,114.94103634625185,2397.523136212534
Medium,NSGA-II,35492826,10000,32.76826357841492,100,79910340.71598665,102.40689529161821,2654.15467650824
Medium,NSGA-II,376383645,10000,32.556886196136475,100,83602923.56998356,130.6249736776597,2414.2758787246266
Medium,NSGA-II,1746484539,10000,33.031625747680664,100,77906008.61722425,139.6599814813434,2922.4971145974437
Medium,NSGA-II,1394609702,10000,31.452456951141357,100,82015198.72958899,158.91894998009812,3039.46208297669
Medium,NSGA-II,1960127675,10000,32.851988077163696,98,84862120.65463433,100.43204747372684,2367.33109980934
Medium,NSGA-II,1081530686,10000,31.400753021240234,100,78066645.39791325,176.0350637937173,2258.7728616137397
Medium,NSGA-II,1302740407,10000,31.572176218032837,100,78419234.93442541,157.4753979616482,2109.041380610872
Medium,NSGA-II,2084654369,10000,35.07136368751526,99,74686740.27670091,189.74551756322722,2497.964599244177
Medium,NSGA-II,1566581934,10000,33.10834765434265,100,81936622.80673888,125.68829429632328,2755.432557804606
Medium,NSGA-II,1357791198,10000,35.92407488822937,100,76640626.18640245,220.87918449470493,2497.1017213082023
Medium,NSGA-II,1167425778,10000,37.0007209777832,100,80283935.77959579,157.4272639299777,2223.1203143211937
Medium,NSGA-II,1202413557,10000,35.97204113006592,100,82272498.83548543,162.09185152500666,2058.2951057154164
Medium,NSGA-II,2008052738,10000,33.175557136535645,100,84101325.38163443,131.55479296843944,2282.234267583573
Medium,NSGA-II,595598245,10000,38.946404695510864,100,80842033.63998297,149.52712798755667,3050.8165759171297
Medium,NSGA-II,1752032165,10000,34.166621685028076,100,89506812.64542125,69.84254821807852,2523.1265013273123
Medium,NSGA-II,1440696407,10000,34.442670583724976,100,82143849.78902492,141.98140334570485,3131.7390085689512
Medium,NSGA-II,5880883,10000,38.16403293609619,100,73931917.32268049,202.5916912203942,2734.6850904453026
Medium,NSGA-II,846428919,10000,31.65921187400818,100,82894517.49254015,89.74420177619139,2556.4666624225474
