instance,configuration,seed,graph_pmx,gls,evaluation_budget,front_size,hv,igd_plus,spread
ot_small,A_baseline,22,False,False,1500,50,109861.65634999999,0.22972086837551298,163.22666764974406
ot_small,A_baseline,23,False,False,1500,50,106859.64827500001,0.3055335394910107,179.25708125761727
ot_small,A_baseline,24,False,False,1500,50,105249.08455,0.7961820059930441,155.27572090961291
ot_small,A_baseline,25,False,False,1500,50,108638.2986,0.534342530705983,223.52226484008256
ot_small,A_baseline,26,False,False,1500,50,106998.96435000001,0.28080022306391944,194.49417869962073
ot_small,A_baseline,27,False,False,1500,50,107638.39705,1.2127625104939972,162.7244036891824
ot_small,A_baseline,28,False,False,1500,50,104260.50552499999,0.33652720697367694,179.25035434634432
ot_small,A_baseline,29,False,False,1500,50,110092.66975,0.2477819555716555,190.92538937302183
ot_small,B_graph_pmx,0,True,False,1500,50,109209.245425,0.7270971301204201,144.0073685173436
ot_small,B_graph_pmx,1,True,False,1500,50,107202.74125,0.24426152331365375,155.33071202514975
ot_small,B_graph_pmx,2,True,False,1500,50,111184.3445,0.19636068435979886,194.6689329659204
ot_small,B_graph_pmx,3,True,False,1500,50,107760.880975,0.5285499067572114,193.6465160317634
ot_small,B_graph_pmx,4,True,False,1500,50,109161.80225000001,1.1311611331602933,190.92373395492243
ot_small,B_graph_pmx,5,True,False,1500,48,110233.372225,0.3703305502049351,183.72836472357773
ot_small,B_graph_pmx,6,True,False,1500,50,106517.25279999999,0.31229536189095947,149.6940280428381
ot_small,B_graph_pmx,7,True,False,1500,50,107853.813775,0.7722546295472645,198.98672916114282
ot_small,B_graph_pmx,8,True,False,1500,48,107393.87302500001,0.28652335370782134,140.56124999444194
ot_small,B_graph_pmx,9,True,False,1500,50,108379.50142500001,1.5214084309877285,161.9775040604096
ot_small,B_graph_pmx,10,True,False,1500,50,109768.88965,0.24396704929835317,194.67189924187826
ot_small,B_graph_pmx,11,True,False,1500,50,107476.34145,0.3954286317094682,177.13026336750025
ot_small,B_graph_pmx,12,True,False,1500,50,110350.397725,0.1960378681924964,157.5285837016254
ot_small,B_graph_pmx,13,True,False,1500,50,109762.5188,0.24881327897560948,157.52945141175982
ot_small,B_graph_pmx,14,True,False,1500,50,108948.827825,0.2713826531274385,188.58215766514076
ot_small,B_graph_pmx,15,True,False,1500,50,107872.98377500002,0.25461704196772195,179.25372476531695
ot_small,B_graph_pmx,16,True,False,1500,50,107793.02410000001,0.3629485199531459,144.67766277639404
ot_small,B_graph_pmx,17,True,False,1500,49,106787.03889999999,1.3233125255527898,201.5812949122264
ot_small,B_graph_pmx,18,True,False,1500,50,110527.76860000001,0.7508776323908162,190.92946413063123
ot_small,B_graph_pmx,19,True,False,1500,50,109406.565975,0.5229213262280561,188.21640877524467
ot_small,B_graph_pmx,20,True,False,1500,50,107978.13475,0.50835319806504,190.9256921355531
ot_small,B_graph_pmx,21,True,False,1500,49,103529.43122500001,0.4368907536266988,176.5749812919146
ot_small,B_graph_pmx,22,True,False,1500,50,105707.36485000001,1.1004189972962866,188.31464356400966
ot_small,B_graph_pmx,23,True,False,1500,50,106944.165875,0.2899410987538538,187.2666469589286
ot_small,B_graph_pmx,24,True,False,1500,50,110111.532125,0.13402837557423886,194.66886830112307
ot_small,B_graph_pmx,25,True,False,1500,50,109616.16532500001,0.45736087903712674,193.22662736344077
ot_small,B_graph_pmx,26,True,False,1500,50,108268.156475,0.6712722585812353,196.87071134348554
ot_small,B_graph_pmx,27,True,False,1500,50,108233.34130000001,0.42612843643742554,194.31741438183042
ot_small,B_graph_pmx,28,True,False,1500,50,109435.37430000001,0.1640687898089171,190.93935897999134
ot_small,B_graph_pmx,29,True,False,1500,50,108805.89945,0.878414144162427,192.78559974946262
ot_small,C_gls,0,False,True,1500,50,108450.4522,0.6451175145829517,184.99994998010135
ot_small,C_gls,1,False,True,1500,50,109607.0723,0.5399412738853522,191.53962758656496
ot_small,C_gls,2,False,True,1500,50,110039.071125,0.3788248405211796,180.28274046311256
ot_small,C_gls,3,False,True,1500,50,104680.71805,1.2382073894872443,179.2535971745058
ot_small,C_gls,4,False,True,1500,50,111981.36865000002,0.17581579617834403,190.92282088844172
ot_small,C_gls,5,False,True,1500,52,110625.749925,0.22107543937074925,201.4352332736257
ot_small,C_gls,6,False,True,1500,50,109886.53662500001,0.5077129856218754,191.16286957461168
ot_small,C_gls,7,False,True,1500,50,107082.57117499999,0.5982224221320644,152.9281886450304
ot_small,C_gls,8,False,True,1500,51,106989.05885,0.8504937759406755,204.9266171059533
ot_small,C_gls,9,False,True,1500,49,105650.60725,1.6521225094057672,187.89664586639114
ot_small,C_gls,10,False,True,1500,51,108965.090525,2.6753101976820557,193.5209151117522
ot_small,C_gls,11,False,True,1500,50,110347.06505,0.18649360504852378,144.6852122507342
ot_small,C_gls,12,False,True,1500,50,110546.269375,0.20019535343207603,158.9906631228702
ot_small,C_gls,13,False,True,1500,50,108066.17702500001,0.32956152489933754,188.98297737097909
ot_small,C_gls,14,False,True,1500,51,110886.03032500001,0.1117394373160817,153.71252261608356
ot_small,C_gls,15,False,True,1500,50,106083.86134999999,2.674446375272388,172.64446353312346
ot_small,C_gls,16,False,True,1500,49,110836.28210000001,0.3998614340859663,193.35726229508424
ot_small,C_gls,17,False,True,1500,49,110630.82607500002,0.23114701920622474,194.0123687423047
ot_small,C_gls,18,False,True,1500,50,111607.866425,0.18879692806858378,188.21742614327718
ot_small,C_gls,19,False,True,1500,50,110016.05110000001,0.8763575372488461,196.8239200560999
ot_small,C_gls,20,False,True,1500,50,107944.378475,0.7132977218998754,169.6819860982597
ot_small,C_gls,21,False,True,1500,50,107951.14180000001,0.3000250886140107,155.42100682018503
ot_small,C_gls,22,False,True,1500,50,109462.90422499999,0.25213768366213773,163.22629151959558
ot_small,C_gls,23,False,True,1500,52,106888.50177500001,0.3077546859878259,179.25708125761727
ot_small,C_gls,24,False,True,1500,50,105443.42994999999,0.7956418786045091,184.0531159855763
ot_small,C_gls,25,False,True,1500,48,108748.902275,0.5362872440817797,223.52226484008256
ot_small,C_gls,26,False,True,1500,51,107454.8157,0.2448243772197339,194.49417869962073
ot_small,C_gls,27,False,True,1500,50,107692.7342,1.1558975423411328,162.7244036891824
ot_small,C_gls,28,False,True,1500,51,104256.90502499999,0.3424255509227216,179.25035434634432
ot_small,C_gls,29,False,True,1500,50,109947.54990000001,0.24822017213216505,190.92538937302183
